Designator,Mid X,Mid Y,Rotation,Layer
D1,85.5,144.5,0.0,top
D2,98.0,144.5,0.0,top
D3,110.5,144.5,0.0,top
R1,90.27,144.5,270.0,top
R2,102.77,144.5,270.0,top
R3,115.27,144.5,270.0,top
SW1,90.92,128.59,0.0,top
SW2,109.96,128.59,0.0,top
SW3,129.08,147.59,0.0,top
U1,130.0,126.0,270.0,top
